Tembung,Ngoko,Krama,Ki,Notes
Di sini,neng kene,ing ngriki,-,
Ada,ana,wonten,-,
Adik,adhi,adhi/(rayi),(rayi),rayi jarang dipakai untuk percakapan seharian
Agak,rada,radi,-,"context: agak, lebih, sedikit"
Aku,aku,kula,KA: (dalem),
Anak,anak,lare,putra,
Anda sekalian,kowe kabeh,sampeyan sadaya,panjenengan sadaya,
Apa,apa,menapa,-,
Apa khabar?,Piye kabare?,Kados pundi kabaripun?,-,
Asli,asli,,,
Ayo,ayo,mangga,-,
Baik,apik,sae,-,
Baju,klambi,rasukan,ageman,
Bapak,bapak,bapak,(rama),"rama terlalu tinggi dalam percakapan seharian, hanya di situasi formal, kraton, spiritual"
Bekerja,nyambut gawe,nyambut damel,ngasta,
Belum,durung,dereng,-,
Benar,bener,leres,-,
Berumahtangga,omah-omah,emah-emah,krama,
Besar,gedhe,ageng,-,
Bicycle,pit,sepedha,-,
Biru,biru,-,-,
Bukan,dudu,sanes,-,
Buku,buku,buku,pustaka*,*hanya untuk buku suci
Bunga,kembang,sekar,-,
Car,montor,mobil,-,
Celana,kathok,clana,-,
Coklat,soklat,-,-,
Dan,lan,-,-,
Dari,saka,saking,-,
Daun,godhong,ron,-,
Dengan (bersama),karo,kaliyan,-,
Dia,dheweke,piyambakipun,panjenganipun,
Emas,emas/mas,-,-,
Eraser,setip,-,-,
Excuse me,-,-,KA: nuwun sewu,
Faham/Tau,ngerti/mudheng,ngertos/mangertos,priksa/pirsa,
Happy/suka,seneng,remen,-,
Hijau,ijo,ijem,-,
Hitam,ireng,cemeng,-,
Ibu,ibu,-,-,
Ingin/wish,kepengin,-,-,
Ini,iki/niki,menika,-,
Itu (jauh),kae,menika,-,
Itu / that (nearer the hearer),kuwi,menika,-,Itu / that (nearer the hearer)
Jelek,elek,awon,-,
Juga,uga,ugi,-,
Kaca mata,kaca mata,kaca tingal,tesmak,
Kakak laki-laki,kakang,kangmas,raka,
Kakak perempuan,mbakyu,-,-,
Kami,aku kabeh,kula sadaya,-,
Kamu,kowe,sampeyan,panjenengan,
Karena,amarga/mergane/jalaran,amargi/jalaran,-,
Ke / to,menyang/nyang,dhateng,-,
Kecil,cilik,alit,-,
Kelabu,klawu,-,-,
Keluar,metu,medal,miyos,ngetokake - ngedalaken = mengeluarkan
Keluarga,kulawarga,-,-,sanak kadange
Keluarga dalam satu rumah,brayat,-,-,
Kepunyaan,duwek,gadhahan,kagungan,
Kita,awake dhewe,kita,-,
Kuning,kuning,jene,-,je-nayy
Lelaki,lanang,jaler,kakung,
